Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,SKU50,52.76325,58.29664,352.02875,7349.9204,Male,-4.387112,24.627464,41.173233,3.3800983,Carrier A,4.105072,Supplier 4,Chennai,-4.516924,403.76462,19.534678,94.8337,Fail,3.7139149,Road,Route A,441.3819
cosmetics,SKU48,49.36953,46.260906,447.34793,6015.7935,Non-binary,22.136593,22.3906,54.41002,4.376564,Carrier B,3.824236,Supplier 4,Delhi,0.5414391,426.95795,20.305487,58.32903,Fail,3.2273738,Road,Route A,488.4877
haircare,SKU71,49.60216,98.09141,174.25523,8170.1904,Non-binary,3.7574077,23.64624,37.997505,3.4970715,Carrier A,3.525916,Supplier 4,Bangalore,-2.4078217,247.24963,18.102291,157.39703,Fail,2.5840926,Rail,Route A,757.42377
cosmetics,SKU53,50.840897,62.424885,289.7826,7881.6235,Male,-17.318333,22.590942,37.63801,2.998804,Carrier A,3.6765862,Supplier 4,Chennai,-5.963211,327.93323,18.97757,101.46517,Fail,4.1817613,Road,Route A,518.34607
cosmetics,SKU43,56.152664,48.179836,273.85638,9191.113,Male,-4.3342175,18.38302,50.400375,4.357937,Carrier A,6.0456157,Supplier 4,Delhi,1.9080497,493.12683,18.639687,105.76484,Fail,4.3015656,Road,Route A,489.136
cosmetics,SKU40,50.56338,42.04195,437.8931,7227.453,Male,-9.087711,24.478292,69.074974,4.104992,Carrier B,4.037393,Supplier 4,Delhi,-4.0966377,391.19122,18.993757,65.00862,Fail,3.980908,Road,Route A,439.28983
cosmetics,SKU50,50.146034,34.04967,239.60683,9265.499,Male,0.32537416,19.108856,40.00216,3.6727238,Carrier B,5.0296183,Supplier 4,Chennai,9.30084,386.19867,17.49419,79.741394,Fail,4.1756086,Rail,Route A,595.62036
haircare,SKU69,46.196804,66.008606,486.67108,7028.972,Non-binary,59.41723,22.624979,29.545881,5.210921,Carrier A,5.3100796,Supplier 3,Delhi,7.482643,568.22833,20.023117,67.65546,Pass,0.46073923,Rail,Route A,700.12244
haircare,SKU5,65.34755,33.719086,603.3617,9860.954,Non-binary,-3.0498815,17.24189,59.361748,4.586286,Carrier B,5.58901,Supplier 5,Mumbai,7.0112514,582.60254,18.407366,69.684685,Fail,3.4769118,Rail,Route A,560.14453
haircare,SKU53,45.677467,25.47793,592.4869,6992.746,Non-binary,44.950512,12.107478,35.14326,5.258414,Carrier B,5.3836675,Supplier 4,Delhi,17.778881,567.5476,17.056414,55.688194,Pass,2.415674,Rail,Route A,585.0951
haircare,SKU5,44.3211,61.15222,375.47562,7700.351,Non-binary,33.150417,19.908697,49.337177,3.4955463,Carrier A,6.0586224,Supplier 4,Delhi,7.8295097,645.2488,22.362703,100.790405,Pass,1.854148,Rail,Route A,627.0657
haircare,SKU48,48.76498,35.879974,247.24129,8005.3994,Male,13.17387,17.971178,46.260002,4.3715653,Carrier B,5.0708323,Supplier 4,Chennai,14.414385,394.86392,16.794191,73.482864,Fail,3.8947263,Rail,Route A,606.50366
cosmetics,SKU46,53.97535,39.739006,237.46779,9127.669,Male,-13.798626,21.58832,47.246063,3.843155,Carrier B,4.913993,Supplier 5,Chennai,3.7485867,380.4523,16.786139,89.45595,Fail,4.366157,Road,Route A,555.7997
haircare,SKU57,37.525814,51.84676,409.41513,6044.796,Male,42.443542,18.843962,48.67794,5.238862,Carrier B,4.6875925,Supplier 3,Delhi,7.278365,482.78772,19.739246,68.54099,Fail,2.5710905,Rail,Route B,519.28674
cosmetics,SKU58,58.537807,45.012985,348.13452,7647.6562,Male,6.864013,22.576511,55.215233,4.688015,Carrier B,5.7882414,Supplier 4,Kolkata,2.9604769,574.02386,21.419827,82.009056,Fail,3.9314423,Road,Route A,532.61334
haircare,SKU5,56.249466,36.961693,396.33136,6948.887,Non-binary,9.004646,18.988993,54.975487,5.5402246,Carrier B,5.066432,Supplier 4,Kolkata,9.68692,441.3711,18.62986,56.149483,Fail,3.542771,Rail,Route A,561.96295
cosmetics,SKU34,57.412098,39.65794,421.77292,7426.7495,Male,-43.447124,27.567705,75.88668,3.805278,Carrier B,3.43402,Supplier 5,Delhi,-12.268452,347.2398,18.630535,74.51651,Fail,5.130476,Sea,Route A,437.19623
cosmetics,SKU36,53.385372,37.986557,359.651,8393.052,Male,-30.004902,26.66826,61.527504,3.4030273,Carrier B,3.6982372,Supplier 5,Delhi,-8.208429,351.6191,20.812092,84.520706,Fail,4.609231,Road,Route A,449.07486
cosmetics,SKU33,50.58695,44.251152,444.63486,7411.104,Male,1.2805438,21.021996,68.74874,4.779799,Carrier B,4.819561,Supplier 4,Kolkata,-1.4618644,485.9217,20.062574,71.32062,Fail,3.9555979,Road,Route A,414.33005
skincare,SKU66,40.564323,79.451256,356.86334,6365.6724,Non-binary,58.206654,23.544622,13.504664,4.324923,Carrier A,5.2890787,Supplier 3,Chennai,7.647354,507.26535,19.772503,71.79468,Pass,0.9477804,Rail,Route A,695.24445
haircare,SKU7,46.265965,66.10527,233.00688,8393.583,Non-binary,26.22759,19.25385,42.254887,3.4107485,Carrier A,4.497728,Supplier 4,Bangalore,9.935162,369.56302,17.78564,134.29971,Fail,2.246552,Air,Route A,903.60156
cosmetics,SKU29,55.978718,39.23786,488.38483,6394.0615,Non-binary,-36.484905,27.731253,83.32704,4.1333766,Carrier B,3.2905753,Supplier 5,Delhi,-12.46487,353.96225,19.362661,64.2073,Fail,4.78714,Sea,Route A,430.6647
cosmetics,SKU52,52.26205,67.47667,612.462,6485.618,Non-binary,-8.054615,26.699924,48.36194,3.9155593,Carrier B,4.041501,Supplier 4,Kolkata,-12.156677,560.30566,26.33155,88.0321,Fail,3.215953,Road,Route A,354.03397
cosmetics,SKU52,45.87849,39.81666,427.2317,5878.8496,Male,37.778767,21.588694,47.086704,4.8406034,Carrier B,4.5759444,Supplier 3,Kolkata,7.191574,447.15567,19.350822,43.64512,Pass,2.6327171,Road,Route B,505.3504
cosmetics,SKU32,59.199253,40.853363,443.95554,6981.8105,Male,-40.147144,25.810242,83.601654,3.8105674,Carrier B,2.6955137,Supplier 5,Chennai,-16.528963,324.2502,20.498354,75.15463,Fail,5.4041758,Sea,Route A,427.38547
cosmetics,SKU47,54.311302,39.16616,414.4097,6963.258,Male,-4.450005,24.151676,56.861828,4.2536,Carrier B,4.1535134,Supplier 4,Delhi,-0.13866608,401.03085,19.227306,61.60079,Fail,4.1182985,Road,Route A,508.26025
haircare,SKU56,45.641052,38.426857,397.8582,6410.661,Male,44.92487,17.890364,40.636906,4.8664937,Carrier B,4.7821736,Supplier 3,Kolkata,13.5392475,443.6388,19.107933,43.389492,Pass,2.6185832,Road,Route A,580.0378
haircare,SKU47,47.964607,24.632784,76.99729,9405.667,Male,-0.43371627,12.522476,45.771465,2.7120411,Carrier A,6.1407237,Supplier 5,Bangalore,15.214716,354.2944,15.796684,114.70788,Fail,4.6072674,Rail,Route A,828.7499
haircare,SKU52,46.080112,42.222473,376.05927,6149.2344,Male,32.935257,22.354551,46.339348,4.914184,Carrier B,4.4536204,Supplier 3,Kolkata,7.324011,405.00903,19.67906,52.580696,Fail,2.5884137,Rail,Route B,500.53052
haircare,SKU44,30.853817,31.3205,444.46967,5416.8403,Male,57.26405,7.975738,51.056904,4.397027,Carrier A,7.250131,Supplier 4,Kolkata,7.660857,638.15454,22.149141,81.90988,Pass,2.1784816,Rail,Route B,512.87634
cosmetics,SKU34,50.63619,42.960598,410.39923,9488.946,Male,-30.159382,22.18636,69.25675,4.14729,Carrier B,4.9865227,Supplier 5,Kolkata,-5.451313,439.95798,18.41692,88.607574,Fail,4.625522,Road,Route A,388.4407
cosmetics,SKU37,48.76269,41.65976,479.09317,5998.483,Non-binary,8.728992,22.69697,68.42413,5.0119863,Carrier B,4.23212,Supplier 4,Kolkata,0.8492966,442.5204,18.680395,49.252068,Fail,3.6599672,Road,Route A,460.90747
haircare,SKU62,39.20956,85.07223,347.6582,6743.604,Non-binary,31.429382,20.74245,18.701876,4.3776145,Carrier A,4.642877,Supplier 3,Chennai,2.6803284,550.82935,20.009508,105.12523,Fail,1.2987742,Rail,Route A,522.59985
haircare,SKU48,39.995872,29.716139,279.28058,6571.0674,Male,24.428005,11.09442,42.73641,4.0164566,Carrier A,5.5439267,Supplier 4,Chennai,19.656118,488.91193,17.893381,73.851234,Pass,3.7951527,Rail,Route A,669.67615
cosmetics,SKU3,56.674316,38.435997,490.62714,6338.286,Non-binary,-39.74583,28.24037,81.24367,3.6349325,Carrier B,2.9111133,Supplier 5,Delhi,-15.562117,329.33533,21.239042,66.08519,Fail,4.789632,Sea,Route A,424.9947
cosmetics,SKU47,50.436077,50.2744,424.62405,6214.5264,Non-binary,30.0859,22.726812,51.00865,4.380311,Carrier B,4.089977,Supplier 4,Delhi,2.4560328,433.83322,21.326977,60.70625,Fail,3.1816292,Road,Route A,563.4065
haircare,SKU69,61.930313,27.018265,157.25237,7893.9297,Non-binary,11.182472,15.333261,40.910057,4.607432,Carrier A,6.024264,Supplier 4,Delhi,11.960686,500.2532,18.634295,104.32233,Fail,4.4789953,Rail,Route A,695.12146
cosmetics,SKU32,56.009277,39.47335,498.80893,6909.2593,Male,-21.841145,24.132906,76.67518,4.375963,Carrier B,4.1061864,Supplier 5,Kolkata,-8.025557,441.38498,19.471712,67.018364,Fail,4.4500895,Sea,Route A,418.3344
haircare,SKU63,49.8399,52.66555,361.03625,7840.5825,Non-binary,26.56574,21.908707,45.304394,4.4403057,Carrier B,5.8898406,Supplier 4,Kolkata,6.7690268,601.36017,22.954409,91.82436,Fail,2.8924828,Rail,Route A,626.15955
cosmetics,SKU45,51.402573,31.733673,133.67049,9509.008,Male,-8.928753,18.321976,45.248993,3.4770582,Carrier B,5.3295794,Supplier 5,Chennai,8.269733,388.44684,16.50569,96.53092,Fail,4.8853207,Rail,Route A,595.61475
haircare,SKU56,51.74833,70.20302,258.1207,9991.031,Non-binary,9.362598,19.139462,35.860508,1.4528375,Carrier A,6.2674193,Supplier 5,Chennai,-1.441017,609.34924,23.009981,149.25244,Fail,2.0079517,Air,Route A,668.9808
haircare,SKU66,42.801285,49.869377,366.94888,6666.3237,Non-binary,42.89454,19.9072,38.0039,4.9760137,Carrier B,5.763878,Supplier 3,Delhi,14.088805,521.71106,20.1422,63.200684,Pass,2.3765407,Rail,Route A,699.04456
haircare,SKU49,51.93404,23.724617,68.900856,9030.609,Male,-5.4347005,14.606699,42.48954,4.068859,Carrier A,5.6825266,Supplier 5,Chennai,11.731852,436.27307,15.825554,102.30045,Fail,5.113328,Rail,Route A,633.10535
cosmetics,SKU51,53.714874,32.52936,166.56361,10135.446,Male,-11.257137,19.289196,40.581203,2.8152542,Carrier A,4.8032637,Supplier 5,Chennai,6.84233,358.12143,17.676481,102.392654,Fail,4.57379,Rail,Route A,644.31866
haircare,SKU56,40.719185,56.08616,423.35693,6164.946,Non-binary,65.9781,20.481617,30.064392,4.8373847,Carrier A,5.9444704,Supplier 3,Delhi,12.085067,552.3383,18.997452,66.42194,Pass,1.2359922,Rail,Route B,665.755
cosmetics,SKU43,46.937546,44.692905,290.97247,7481.7573,Male,4.865997,20.011965,55.36705,4.3114347,Carrier B,4.420132,Supplier 4,Delhi,3.4328604,418.08002,19.349524,80.2783,Fail,4.108002,Road,Route A,503.7103
cosmetics,SKU24,58.22706,34.357346,511.54227,6799.017,Non-binary,-58.274967,30.275145,94.73051,3.5440037,Carrier B,3.2357507,Supplier 5,Delhi,-19.250341,338.01892,19.894258,71.79135,Fail,5.2449417,Sea,Route A,374.63705
cosmetics,SKU42,58.37117,24.584692,63.55592,10504.348,Male,-27.783161,16.52539,50.276287,2.9689603,Carrier A,5.984243,Supplier 5,Chennai,4.5685444,435.5316,16.01139,119.324684,Fail,5.7844563,Rail,Route A,623.60657
cosmetics,SKU41,54.768288,40.76595,330.85022,9320.963,Male,-12.8363,20.482626,57.676,4.1840467,Carrier B,5.218383,Supplier 5,Delhi,2.5300245,424.04184,18.120949,84.17811,Fail,4.4637203,Road,Route A,502.6816
haircare,SKU50,48.875973,50.92727,424.81427,6708.121,Male,30.40488,19.165936,52.658516,5.3927636,Carrier B,4.913949,Supplier 4,Kolkata,7.9053946,505.36438,18.008667,59.208668,Fail,2.8119597,Road,Route A,484.01312
cosmetics,SKU46,54.08944,43.44208,479.48938,6385.6113,Non-binary,18.514221,20.052607,57.981075,5.2241044,Carrier B,4.7106977,Supplier 4,Kolkata,5.644125,483.0623,18.872992,53.379,Fail,3.306204,Road,Route A,516.2332
cosmetics,SKU48,49.859406,42.865578,381.2231,6843.984,Male,17.64326,21.52836,54.255318,4.768976,Carrier B,4.577388,Supplier 4,Delhi,5.5190353,427.90497,17.910526,58.817295,Fail,3.4914136,Road,Route A,509.42935
haircare,SKU49,47.161972,37.94057,236.35825,8411.111,Male,10.538521,18.290642,40.858627,3.9808378,Carrier A,5.1865463,Supplier 4,Chennai,11.187051,390.96582,17.094698,81.43602,Fail,3.8256755,Rail,Route A,608.5232
cosmetics,SKU41,55.95563,41.058537,272.55908,9012.416,Male,-23.107754,21.850698,55.772026,3.8454697,Carrier B,5.2213264,Supplier 5,Delhi,-0.12244789,413.22516,18.034132,93.42444,Fail,4.853232,Road,Route A,502.97443
cosmetics,SKU42,50.094555,46.419853,278.76865,8407.859,Male,-8.068169,22.457102,54.296757,3.8506544,Carrier B,4.389581,Supplier 5,Delhi,0.32785997,379.7486,17.970783,88.09969,Fail,3.9951456,Road,Route A,490.9937
cosmetics,SKU18,55.308704,33.466904,533.77515,6576.4634,Non-binary,-63.83225,30.195454,103.632065,3.7849536,Carrier B,3.3621402,Supplier 5,Delhi,-20.159136,328.9287,19.128052,66.002975,Fail,5.4335365,Sea,Route A,337.02176
cosmetics,SKU51,58.140648,81.379196,619.26733,8031.3555,Unknown,-10.690872,22.032267,53.70083,5.0971184,Carrier A,5.2439046,Supplier 4,Mumbai,-8.528009,713.38513,27.922613,95.645836,Pass,2.1257403,Road,Route A,266.99426
haircare,SKU80,41.71213,92.343506,323.87625,6165.763,Non-binary,39.56602,25.659458,34.951466,5.182666,Carrier A,4.3892612,Supplier 3,Bangalore,0.88044363,329.169,19.56012,106.01496,Fail,1.6424044,Rail,Route A,700.0465
cosmetics,SKU0,64.58123,33.833614,860.9625,7700.018,Non-binary,-94.470436,25.126959,124.28957,5.3212767,Carrier B,4.9300704,Supplier 5,Mumbai,-26.866415,494.0413,26.666565,56.61906,Fail,5.481997,Sea,Route A,147.89575
cosmetics,SKU38,53.874264,12.889036,-110.14562,11372.57,Female,-36.105427,11.118269,40.964832,1.6244373,Carrier A,6.646217,Supplier 5,Bangalore,7.1578484,341.01276,14.635313,138.38512,Fail,6.451082,Rail,Route A,747.8767
cosmetics,SKU49,47.785027,41.374,308.39972,8668.078,Male,-16.219822,18.93682,42.376976,3.0545564,Carrier A,4.592351,Supplier 5,Chennai,-1.4264563,356.75485,19.034264,87.55797,Fail,4.429594,Road,Route A,556.79834
haircare,SKU76,51.070118,72.50071,282.96695,5745.183,Non-binary,33.798824,22.05345,38.362286,4.906554,Carrier A,4.0957575,Supplier 3,Chennai,3.6772814,371.43884,21.199196,96.82954,Fail,2.7524784,Rail,Route A,678.33997
haircare,SKU44,37.731148,31.413853,415.06213,5543.8394,Male,60.660397,15.42065,42.372566,5.454335,Carrier B,6.49188,Supplier 4,Kolkata,16.174429,591.66797,20.87452,62.939983,Pass,2.515307,Rail,Route B,588.5901
cosmetics,SKU12,56.770718,40.696663,566.31647,6516.192,Non-binary,-60.608807,34.885708,98.014946,2.6337044,Carrier B,1.967303,Supplier 5,Kolkata,-28.402506,266.2544,22.782364,72.19796,Fail,4.411889,Sea,Route A,272.30078
cosmetics,SKU27,53.406796,44.289986,616.2011,6324.2246,Non-binary,-23.30972,29.899864,81.0561,3.8923967,Carrier B,3.4794369,Supplier 4,Kolkata,-13.804705,408.82788,20.985006,65.321594,Fail,3.6976793,Sea,Route B,345.72247
skincare,SKU86,20.781939,187.15932,236.92484,6908.6313,Unknown,42.412792,38.25224,-45.75869,0.6062269,Carrier A,4.4107738,Supplier 2,Bangalore,-12.75172,722.21954,33.271217,153.3252,Pending,-2.4525335,Air,Route A,711.5493
cosmetics,SKU15,57.446266,45.48847,476.76752,6953.8926,Non-binary,-86.39187,32.527763,109.745026,2.4446106,Carrier B,0.3048987,Supplier 5,Chennai,-33.54973,195.93951,24.129196,88.73211,Fail,5.8435216,Sea,Route A,323.74188
cosmetics,SKU45,50.76967,41.35775,269.28876,8802.255,Male,-16.711796,21.904991,53.367775,3.9462001,Carrier B,4.9231153,Supplier 5,Chennai,1.0730802,396.6211,17.456762,87.52241,Fail,4.6482267,Road,Route A,493.7954
cosmetics,SKU35,57.568916,42.619297,358.42474,7854.1235,Male,-41.757763,26.131615,70.63058,3.6258042,Carrier B,3.4146802,Supplier 5,Chennai,-11.585728,321.7407,19.161524,80.79848,Fail,5.108042,Sea,Route A,451.36902
haircare,SKU5,38.89603,48.083427,442.79984,6787.3623,Male,36.648075,20.014128,44.24807,4.2620826,Carrier A,5.6162553,Supplier 3,Kolkata,0.732544,558.7686,23.93519,76.16215,Pass,2.0529556,Rail,Route B,509.87015
haircare,SKU61,47.79756,76.608345,471.42355,5981.152,Non-binary,33.69996,21.954298,32.659256,5.0620146,Carrier B,4.696691,Supplier 3,Kolkata,2.5762281,612.3659,22.926167,83.32155,Pass,2.221513,Rail,Route A,412.55444
cosmetics,SKU37,52.650703,38.59005,297.77957,9029.193,Male,-31.459118,24.511745,58.02637,3.5047002,Carrier B,3.99056,Supplier 5,Chennai,-4.110054,357.15405,18.602163,91.86133,Fail,4.899436,Road,Route A,483.85538
